Designator,Mid X,Mid Y,Layer,Rotation
C1,90.4,-58.5,T,90.0
C2,101.854,-74.168,T,90.0
C3,85.8,-58.5,T,90.0
C4,101.2975,-87.63,T,0.0
C5,90.4375,-69.1,T,180.0
C6,96.52,-67.818,T,270.0
C7,89.535,-80.3125,T,90.0
C8,99.314,-74.168,T,90.0
D1,96.75,-57.75,T,90.0
D2,109.22,-68.2475,T,270.0
D3,82.1,-73.3,T,180.0
J1,93.345,-49.53,T,180.0
J10,115.57,-71.12,T,90.0
J11,115.57,-81.28,T,90.0
J12,84.455,-90.805,T,0.0
J13,109.96,-83.82,T,90.0
J14,91.97,-83.8,T,90.0
J3,83.185,-78.105,T,0.0
J4,74.295,-50.8,T,270.0
J5,74.295,-60.96,T,270.0
J6,74.295,-71.12,T,270.0
J7,74.295,-81.28,T,270.0
J8,115.57,-50.8,T,90.0
J9,115.57,-60.96,T,90.0
L1,83.0,-67.8,T,180.0
LOGO1,104.0,-65.532,T,90.0
R1,89.535,-84.1525,T,90.0
R2,109.22,-64.4375,T,90.0
R3,89.535,-76.454,T,90.0
R4,90.4375,-67.1,T,180.0
R5,90.4,-65.1,T,0.0
RV1,105.4,-57.4,T,0.0
U1,82.0,-59.0,T,0.0
U2,100.965,-81.28,T,0.0
